Site,14_M,15_F,15_M,16_F,16_M,17_F,17_M,18_F,18_M,19_F,19_M,20_F,20_M,21_F,21_M,22_F,22_M,23_F,23_M,24_F,24_M,25_F,25_M,26_F,26_M,27_F,27_M,28_F,28_M,29_F,29_M,30_F,30_M,31_F,31_M,32_F,32_M,33_F,33_M,34_F,34_M,35_F,35_M,36_F,36_M,37_F,37_M,38_F,38_M,39_F,39_M,40_F,40_M,41_F,41_M,42_F,42_M,43_F,43_M,44_F,44_M,45_F,45_M,46_F,46_M,47_F,47_M,48_F,48_M,49_F,49_M,50_F,50_M,51_F,51_M,52_F,52_M,53_F,53_M,54_F,54_M,55_F,55_M,56_F,56_M,57_F,57_M,58_F,58_M,59_F,59_M,60_F,60_M,61_F,61_M,62_F,62_M,63_F,63_M,64_F,64_M,65_F,65_M,66_F,66_M,67_F,67_M,68_F,68_M,69_F,69_M,70_F,70_M,71_F,71_M,72_F,72_M,73_F,73_M,74_F,74_M,75_F,75_M,76_F,76_M,77_F,77_M,78_F,78_M,79_F,79_M,80_F,80_M,81_F,81_M,82_F,82_M,83_F,83_M,84_F,84_M,85_F,85_M,86_F,86_M,87_F,87_M,88_F,88_M,89_F,89_M,90_F,90_M,91_F,91_M,92_F,92_M,93_F,93_M,94_F,94_M,95_F,95_M,96_F,96_M,97_F,97_M,98_F,99_F,102_F
Hungary_Town_or_small_city,0,0,2,1,1,1,3,2,1,2,1,6,5,3,2,3,8,3,3,4,7,10,2,1,6,3,0,8,7,9,5,9,6,10,3,6,6,3,7,7,8,12,5,7,10,10,5,6,10,5,6,6,5,14,8,9,5,8,7,7,2,11,9,4,12,7,5,7,7,5,10,4,5,7,4,9,9,4,7,9,5,6,5,11,9,3,7,8,11,9,5,15,9,7,7,9,6,3,2,7,3,4,4,8,8,7,7,7,4,8,4,4,4,3,5,8,2,5,0,4,1,7,0,9,2,2,3,1,1,5,1,3,2,4,1,2,1,0,3,1,0,1,2,2,2,3,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland_Big_city,0,0,0,2,0,0,1,1,1,0,2,0,0,0,0,3,0,2,2,3,2,0,0,1,1,2,0,0,1,0,0,0,1,1,0,1,1,3,1,0,0,0,0,1,0,0,0,2,0,2,0,1,0,0,2,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,0,0,1,0,2,0,2,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland_Country_village,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland_Farm_or_home_in_countryside,0,0,0,0,0,1,2,2,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,2,1,3,0,1,1,0,1,2,1,4,1,4,3,0,0,0,1,0,1,0,3,3,0,3,1,0,1,1,1,1,2,1,0,1,1,1,1,3,1,1,0,0,1,0,0,1,2,0,1,2,1,1,2,2,0,1,2,0,1,1,1,1,1,3,2,0,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland_Suburbs_or_outskirts_of_big_city,0,0,0,2,0,1,2,2,2,2,1,2,4,2,1,1,1,1,2,1,1,2,3,1,3,3,4,0,2,1,0,6,3,4,3,3,0,3,0,1,1,3,2,2,3,1,2,1,3,3,2,1,0,4,2,5,3,7,2,2,5,2,3,3,2,2,2,2,2,1,5,2,2,3,1,4,3,1,2,0,2,3,2,3,1,1,1,2,3,4,1,2,1,1,1,4,1,2,1,4,1,0,0,1,0,2,1,2,3,1,3,1,0,1,3,1,0,2,1,0,2,0,1,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland_Town_or_small_city,0,2,0,2,0,0,2,1,0,1,1,2,2,2,1,0,1,1,1,1,2,0,1,1,1,1,1,0,3,0,2,0,0,1,3,2,1,2,2,1,1,1,3,1,1,1,2,2,2,0,1,4,1,1,2,0,0,1,0,1,2,3,2,2,0,1,0,1,0,1,0,3,2,4,0,3,3,1,1,1,4,3,5,1,1,1,1,5,1,2,3,1,1,3,3,0,2,2,5,1,4,0,1,0,0,0,1,2,0,0,0,0,1,1,2,0,1,1,0,0,2,1,0,0,0,1,1,2,1,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland_Big_city,0,0,0,0,0,0,0,0,0,1,5,3,2,3,4,1,3,4,5,4,4,3,6,2,8,6,6,2,2,5,5,5,8,1,3,5,7,1,4,4,3,4,4,7,4,2,5,5,7,9,2,4,1,2,2,2,3,2,4,6,2,0,2,5,2,0,3,4,3,3,5,3,3,4,5,4,1,4,1,2,0,1,2,0,2,4,2,2,1,1,4,2,1,0,0,0,3,5,1,1,3,2,3,0,1,5,3,3,1,2,0,2,2,1,4,0,1,3,2,1,2,3,1,0,1,1,1,0,1,1,0,0,0,2,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ireland_Country_village,0,0,1,0,1,0,0,0,0,0,1,1,3,1,1,4,5,0,2,3,1,1,1,2,5,1,2,3,1,6,2,5,2,2,2,4,4,2,7,4,4,9,5,7,9,2,2,6,4,7,1,5,7,7,6,5,4,4,6,6,3,4,2,9,5,6,6,7,1,2,1,6,5,3,3,3,4,3,8,1,3,4,2,4,6,5,7,3,4,3,2,6,3,8,2,4,3,2,4,4,2,1,2,5,4,3,2,1,3,6,1,1,4,5,2,2,4,3,1,2,2,4,4,1,2,1,1,2,2,2,0,0,3,0,0,2,3,2,1,0,3,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ireland_Farm_or_home_in_countryside,0,0,2,5,13,12,17,19,11,11,13,15,22,22,19,26,21,17,23,14,17,25,19,17,16,27,20,12,28,25,16,42,18,36,25,31,36,39,19,53,22,39,38,55,32,37,43,57,45,58,33,52,38,56,44,60,49,47,38,49,48,56,51,42,33,49,44,45,45,53,47,48,36,52,41,48,57,51,44,55,46,70,41,57,52,50,42,53,51,53,48,49,53,35,53,52,55,46,59,54,58,52,55,50,61,37,42,34,53,35,61,28,48,35,46,31,48,35,31,31,33,28,35,24,31,15,38,15,21,21,42,16,26,11,21,12,18,6,14,16,12,6,19,4,5,6,7,2,3,2,2,2,7,2,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0
Ireland_Suburbs_or_outskirts_of_big_city,0,0,2,0,4,5,7,5,8,8,7,9,11,10,14,12,19,10,11,12,12,17,16,16,18,18,22,8,17,16,16,21,21,23,28,24,16,21,22,25,21,30,22,23,20,23,26,21,23,29,13,28,20,34,25,28,17,30,18,22,16,20,14,12,20,26,14,18,16,27,12,14,15,26,22,22,13,18,14,11,14,24,13,11,14,18,8,19,18,15,21,18,20,14,12,20,16,15,14,18,19,20,22,13,18,11,11,11,19,8,16,12,12,16,17,15,15,9,15,8,14,8,11,3,7,9,4,6,6,6,6,4,6,5,8,6,2,3,1,4,3,3,2,3,8,4,0,0,1,3,5,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
Ireland_Town_or_small_city,0,0,2,0,1,1,4,3,2,3,3,4,7,4,10,9,2,12,5,8,8,6,13,7,12,9,9,10,4,11,12,8,5,13,5,9,7,9,9,8,15,8,9,12,10,14,8,14,7,9,9,17,8,10,9,13,9,8,12,6,6,6,9,6,6,7,9,9,1,12,11,8,5,9,6,8,11,3,7,8,4,5,13,5,1,8,11,5,9,7,4,5,5,6,2,10,5,6,8,10,6,5,8,13,7,3,7,10,6,5,6,6,1,2,4,3,7,2,6,3,5,3,3,4,5,3,4,6,5,6,5,3,2,1,2,2,3,5,2,0,1,2,0,1,0,1,1,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel_Big_city,0,3,7,4,8,6,5,10,11,12,9,16,10,16,14,13,10,15,17,20,19,14,15,13,17,10,26,14,15,18,16,13,18,13,13,12,17,18,24,21,10,14,13,17,12,18,14,14,16,12,17,21,16,18,11,21,13,4,2,18,9,16,9,18,13,18,10,15,14,11,10,17,6,11,19,18,11,19,6,15,7,24,10,16,13,21,10,17,6,13,11,17,15,14,8,10,7,15,9,15,19,15,14,10,13,18,17,10,8,15,10,11,12,7,9,7,8,11,7,8,4,9,11,6,12,8,6,7,14,11,8,4,9,3,6,6,4,2,5,0,6,2,2,4,5,2,2,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Israel_Country_village,0,1,1,0,2,1,4,1,5,2,5,1,2,4,2,5,2,2,1,3,2,3,2,2,4,1,4,3,5,1,3,2,2,1,1,4,2,6,1,5,3,2,4,2,7,4,2,4,1,1,1,7,6,3,3,2,2,0,3,3,3,2,3,1,4,1,2,3,3,3,4,1,3,1,1,1,1,5,4,2,2,3,2,3,0,2,3,2,2,8,3,0,3,1,1,4,4,0,2,1,1,2,4,3,1,0,3,2,4,1,1,1,4,0,2,3,0,0,1,2,1,2,2,0,1,2,4,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Israel_Farm_or_home_in_countryside,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,3,1,0,0,1,1,0,1,2,1,1,1,0,0,2,1,0,1,0,0,1,0,0,1,0,0,1,2,1,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,3,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel_Suburbs_or_outskirts_of_big_city,0,1,0,4,2,3,3,3,3,3,6,3,3,5,7,1,6,3,6,5,7,6,10,7,5,7,5,5,3,4,6,6,3,7,4,4,7,3,10,6,3,4,3,5,5,6,3,6,4,6,3,1,6,9,5,6,5,5,6,3,2,5,2,6,1,5,4,8,5,6,5,5,3,7,7,7,3,5,3,4,4,5,4,7,9,9,3,4,5,10,3,5,5,6,6,6,3,4,8,7,8,4,6,4,9,4,3,3,7,3,6,6,4,5,7,0,1,4,3,5,4,2,1,1,5,3,2,2,1,6,4,0,1,1,4,3,3,2,3,1,0,3,2,1,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel_Town_or_small_city,0,3,1,2,3,1,1,4,4,5,1,4,4,1,2,6,2,5,2,2,8,3,4,4,3,7,7,9,2,3,2,0,2,3,5,3,7,6,4,6,6,6,3,6,2,0,5,5,8,5,2,4,3,5,6,6,4,5,5,3,5,2,1,3,8,7,2,6,4,5,2,2,1,4,4,2,2,4,0,5,0,6,1,3,4,4,1,3,3,7,3,1,4,1,4,2,6,2,3,3,3,2,5,2,2,6,2,1,3,1,1,1,2,0,2,4,2,0,2,2,5,1,2,1,2,1,0,0,0,0,4,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy_Big_city,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,1,1,0,0,2,1,0,1,1,1,1,1,2,0,1,0,1,2,0,2,1,2,2,1,0,3,0,3,2,1,1,2,0,2,3,0,1,4,4,2,1,1,1,2,3,1,2,0,2,4,0,1,1,2,0,1,2,3,2,3,2,2,1,0,1,1,2,3,2,0,1,3,2,1,1,2,2,1,1,1,2,1,1,0,1,4,1,4,2,0,1,2,2,0,2,1,0,1,1,2,0,0,1,1,1,0,0,0,1,1,0,0,0,0,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy_Country_village,0,0,0,0,1,0,0,1,1,2,1,2,0,1,0,2,1,2,5,4,3,5,4,2,1,3,5,3,2,3,4,2,3,1,2,0,2,3,0,3,4,1,2,1,5,5,0,3,2,3,4,6,3,0,4,5,6,2,3,6,4,7,5,2,5,5,5,4,5,4,3,6,3,4,7,5,5,6,5,4,1,3,4,5,3,3,4,1,3,5,5,3,5,4,2,6,3,4,8,1,0,4,1,2,3,3,6,3,3,0,2,1,3,3,1,4,0,2,4,2,3,0,0,1,3,1,4,0,2,2,3,0,1,0,1,2,0,0,1,3,1,3,1,0,1,0,0,0,1,2,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Italy_Farm_or_home_in_countryside,0,0,0,0,1,0,0,0,2,1,2,1,0,0,1,2,0,0,0,1,2,2,4,2,1,0,2,1,2,1,3,0,2,0,2,0,0,0,2,0,1,1,0,2,2,3,2,0,2,5,3,1,2,0,3,4,0,4,1,0,2,2,4,4,4,4,3,3,5,3,5,6,5,1,2,1,0,2,1,0,4,2,2,0,1,4,1,0,2,2,2,1,0,1,1,0,1,2,1,1,1,3,6,1,3,0,6,2,2,2,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,3,1,2,0,1,1,1,0,1,1,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Italy_Suburbs_or_outskirts_of_big_city,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,4,0,3,1,0,1,0,0,0,4,0,1,1,1,0,2,2,2,1,2,2,3,2,4,1,1,0,1,0,0,0,1,3,1,2,2,1,2,0,1,2,0,2,0,3,1,3,2,2,1,1,0,2,0,1,3,0,2,2,2,3,3,0,1,0,2,2,4,3,4,1,3,1,2,0,1,0,1,1,0,0,3,3,3,0,1,0,2,2,2,0,0,3,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy_Town_or_small_city,0,0,0,0,1,4,0,3,3,1,2,0,2,2,4,1,2,0,4,3,4,3,2,2,5,4,2,2,2,5,4,3,3,2,4,4,3,3,4,2,4,1,5,3,3,1,4,2,4,3,3,1,2,7,3,7,6,3,6,7,1,3,6,3,3,5,6,3,3,3,4,2,6,9,3,6,2,7,10,6,5,3,3,2,5,5,6,4,6,3,4,3,3,0,3,1,2,2,1,3,4,4,3,3,2,5,0,1,1,4,3,2,1,5,3,3,3,1,4,0,2,1,1,3,2,1,6,1,0,0,1,1,1,2,1,1,0,2,2,2,0,1,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo _Big_city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo _Country_village,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,3,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,3,1,0,2,2,1,0,0,1,0,3,1,1,1,1,0,0,2,0,1,0,0,4,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo _Suburbs_or_outskirts_of_big_city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo _Town_or_small_city,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,1,1,2,0,0,2,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia_Big_city,0,1,0,1,0,0,1,0,0,0,1,1,0,2,0,2,1,0,1,1,0,2,1,2,3,2,0,1,2,2,0,0,1,4,2,2,1,1,4,1,1,1,4,1,0,2,2,1,0,3,3,5,3,2,3,1,0,8,0,1,3,0,2,2,3,4,1,0,2,4,2,3,1,5,3,2,2,1,1,2,0,1,0,1,0,1,2,2,0,1,4,4,0,2,4,3,1,0,0,0,0,5,0,1,0,3,0,2,0,1,2,5,1,2,0,2,2,4,0,1,0,1,0,0,2,1,0,3,0,2,1,2,1,1,0,2,1,1,1,2,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia_Country_village,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,1,1,1,2,0,0,0,1,1,1,1,1,0,0,1,1,1,2,0,0,1,3,0,2,1,2,0,0,0,1,0,2,0,2,1,1,0,0,0,1,0,0,2,1,0,2,0,2,0,1,1,2,0,1,0,0,1,0,0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia_Farm_or_home_in_countryside,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0,1,1,1,2,2,0,1,2,3,1,3,1,0,0,1,2,0,0,0,2,1,0,4,2,0,2,0,4,0,1,3,1,5,0,1,1,2,2,2,5,3,5,2,1,0,3,5,2,0,1,6,1,6,4,3,1,5,4,6,5,4,2,2,5,4,6,0,4,2,3,2,2,2,2,1,1,2,3,3,4,3,3,3,3,0,4,0,5,4,6,2,6,1,6,0,3,1,4,1,2,1,3,2,3,2,3,2,3,0,2,1,6,0,3,1,2,2,1,0,1,0,2,0,1,1,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia_Suburbs_or_outskirts_of_big_city,0,0,0,0,0,0,0,0,0,1,2,0,2,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,1,0,0,1,0,0,1,1,0,0,2,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia_Town_or_small_city,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,3,1,1,0,0,2,2,2,1,1,0,2,0,0,1,4,1,2,0,3,3,1,1,0,2,6,3,2,3,3,0,2,0,0,0,2,0,2,1,2,1,1,0,6,2,0,1,1,1,1,0,0,0,1,1,4,1,3,3,1,3,1,2,2,1,1,1,1,1,2,2,2,2,1,0,3,1,1,0,2,0,1,0,2,1,2,0,2,2,5,1,0,1,4,0,2,1,1,0,2,0,2,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,3,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania_Big_city,0,0,0,0,0,0,0,1,0,1,2,2,1,1,2,4,2,2,6,3,5,4,2,4,12,5,1,5,10,6,5,7,8,4,5,10,10,3,5,5,6,10,6,9,3,5,8,6,7,14,5,11,5,4,2,7,6,8,6,9,3,4,3,13,4,8,7,9,4,3,5,7,8,7,3,7,7,10,4,8,2,7,3,6,8,14,4,12,6,8,3,9,7,5,1,9,4,6,1,6,3,4,6,5,6,4,2,6,2,10,6,7,3,5,0,8,6,7,4,4,0,6,1,2,2,4,1,5,1,3,2,4,0,3,0,2,1,1,1,2,1,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania_Country_village,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,3,1,1,1,3,3,0,1,0,1,0,0,2,3,1,3,3,2,2,3,1,1,2,4,5,1,2,3,0,0,3,2,1,2,1,2,5,5,3,3,5,4,5,3,3,4,2,2,5,8,4,6,3,6,7,3,6,5,3,4,4,5,2,6,7,5,5,5,4,5,4,6,7,3,3,3,7,3,4,4,10,5,4,4,4,2,8,1,5,3,7,1,8,3,6,7,6,3,5,3,3,3,8,6,5,0,3,2,3,2,4,3,0,2,5,0,0,0,2,0,1,1,1,0,0,0,2,0,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania_Farm_or_home_in_countryside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,2,0,0,1,2,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania_Suburbs_or_outskirts_of_big_city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,2,0,1,2,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,2,2,3,0,0,1,2,0,4,1,0,0,0,4,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania_Town_or_small_city,0,0,0,0,0,0,0,1,1,1,2,0,1,0,1,2,2,3,2,4,0,3,0,2,3,1,0,3,3,3,1,7,2,6,1,3,1,1,4,7,1,2,1,2,2,3,2,6,1,6,2,2,7,4,3,1,2,5,2,3,5,12,3,2,5,6,5,3,5,8,5,8,3,5,4,8,2,4,3,5,6,10,7,8,4,9,2,6,3,6,5,10,9,4,3,7,3,2,3,4,2,8,2,7,6,11,3,6,4,11,3,11,4,5,6,3,2,6,4,5,1,3,1,4,0,1,0,4,2,3,3,8,0,4,2,3,0,4,1,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Luxembourg_Big_city,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,1,2,0,0,1,0,0,1,0,0,1,1,1,3,1,0,2,0,1,2,2,0,2,0,1,0,0,1,1,3,1,0,1,0,1,0,0,1,1,1,0,0,0,1,2,1,3,0,0,0,0,0,3,2,2,2,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg_Country_village,0,3,0,2,1,1,5,1,3,3,2,1,1,2,2,4,1,2,0,1,3,5,2,2,1,1,2,0,2,1,0,5,2,1,0,2,3,1,1,6,4,1,1,2,7,1,4,3,7,2,5,2,1,1,2,4,4,7,2,2,5,2,4,2,1,2,0,4,2,3,1,4,4,1,2,0,1,2,1,2,1,3,3,5,1,0,4,1,3,4,5,5,2,1,2,3,4,1,0,1,2,4,0,1,2,3,1,2,1,0,1,1,1,0,0,1,0,0,1,2,1,1,1,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
